GEO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Poland,669485,627624,599505,589349,563921,547397,531316,521817,525751,532828,547819,564381,577893,600862,623650,646381,672864,665221,669312,691229,695759,681657,705356,723605,701720,680091,637213,607790,589938,564431,547720,547719,515214,494310,481285,433109,428203,412635,395619,382002,378348,368205,353765,351072,356131,364383,374244,387873,414499,417589,413300,388416,386257,369576,375160,369308,382257,401982
Portugal,213895,217516,220200,212152,217136,210299,206940,202061,194962,189739,180690,181243,174685,172324,171979,179648,186712,181064,167467,160311,158352,152102,151029,144327,142805,130492,126748,123218,122121,118560,116383,116299,114924,113960,109227,107097,110261,112933,113384,116002,120008,112774,114383,112515,109298,109399,105449,102492,104594,99491,101381,96856,89841,82787,82367,85500,87126,86154
Romania,352241,324859,301985,294886,287383,278362,273678,527764,526091,465764,427034,400146,389153,378696,427732,418185,417353,423958,416598,410603,398904,381101,344369,321498,350741,358797,376896,383199,380043,369544,314746,275275,260393,249994,246736,236640,231348,236891,237297,234600,234521,220368,210529,212459,216261,221020,219483,214728,221900,222388,212199,196242,201104,188599,198740,201995,200009,202151
Slovenia,27825,28955,29035,29174,29184,30587,30941,29824,28580,27883,27432,28278,28713,29548,28625,29786,30339,29904,30354,30604,29902,29220,28894,27200,26274,25933,25570,25592,25209,23447,22368,21583,19982,19793,19463,18980,18788,18165,17856,17533,18180,17477,17501,17321,17961,18157,18932,19823,21817,21856,22343,21947,21938,21111,21165,20641,20345,20241
Slovakia,88412,87359,83899,87158,86878,84257,81453,77537,76370,79769,80666,83062,87794,92953,97585,97649,99814,99533,100193,100240,95100,93290,92618,92053,90843,90155,87138,84006,83242,80116,79989,78569,74640,73256,66370,61427,60123,59111,57863,56223,55151,51136,50841,51713,53747,54430,53904,54424,57360,61217,60410,60813,55535,54823,55033,55602,57557,57969
Finland,82129,81996,81454,82251,80428,77885,77697,77289,73654,67450,64559,61067,58864,56787,62472,65719,66846,65659,63983,63428,63064,63469,66106,66892,65076,62796,60632,59827,63316,63348,65549,65395,66731,64826,65231,63067,60723,59329,57108,57574,56742,56189,55555,56630,57758,57745,58840,58729,59530,60430,60980,59961,59493,58134,57232,55472,52814,50321
Sweden,102219,104501,107284,112903,122664,122806,123354,121360,113087,107622,110150,114484,112273,109663,109874,103632,98345,96057,93248,96255,97064,94065,92748,91780,93889,98463,101950,104699,112080,116023,123938,123737,122848,117998,112257,103422,95297,90502,89028,88173,90441,91466,95815,99157,100928,101346,105913,107421,109301,111801,115641,111770,113177,113593,114907,114870,117425,115416
United Kingdom,918286,944400,975600,990200,1014700,997275,976600,961800,947300,920300,903907,901600,834000,779545,737138,697518,675526,657038,686952,734572,753708,730836,719155,721467,729617,750728,754982,775617,787556,777285,798612,792506,781017,761526,750671,732049,733375,726622,717081,700192,679283,669123,668777,695549,715996,722549,748563,772245,794383,790204,807271,807776,812970,778358,775908,776746,774386,754754
Iceland,4916,4563,4711,4820,4787,4721,4692,4404,4227,4218,4023,4277,4676,4598,4276,4384,4291,3996,4162,4475,4528,4345,4337,4371,4113,3856,3981,4193,4673,4560,4768,4533,4609,4623,4442,4280,4329,4151,4178,4100,4315,4091,4049,4143,4234,4280,4415,4560,4835,5026,4907,4492,4533,4326,4375,4129,4034,4071
Liechtenstein,380,359,360,398,386,395,370,411,431,420,422,350,359,403,326,306,347,309,313,370,393,369,384,348,405,373,351,365,416,373,379,416,375,415,358,425,405,435,400,430,420,401,395,347,372,381,361,351,350,406,329,395,357,339,372,325,378,338
Norway,61880,62555,62254,63290,65570,66277,67061,66779,67350,67746,64551,65550,64260,61208,59603,56345,53474,50877,51749,51580,51039,50708,51245,49937,50274,51134,52514,54027,57526,59303,60939,60813,60109,59678,60092,60292,60927,59801,58352,59298,59234,56696,55434,56458,56951,56756,58545,58459,60497,61807,61442,60220,60255,58878,58976,58815,58890,56633
Switzerland,94372,99238,104322,109993,112890,111835,109738,107417,105130,102520,99216,96261,91342,87518,84507,78464,74199,72829,71375,71986,73661,73747,74916,73659,74710,74684,76320,76505,80345,81180,83939,86200,86910,83762,82980,82203,83007,80584,78949,78408,78458,72295,72372,71848,73082,72903,73371,74494,76691,78286,80290,80808,82164,82731,85287,86559,87883,87381
Total,7714293,7768544,7756295,7901752,8014331,7848827,7756080,7872582,7749427,7594278,7390563,7376841,7152254,6979179,7002663,6813464,6760385,6662509,6600807,6605864,6603667,6451117,6373405,6205277,6177691,6145317,6131416,6103933,6151704,6046036,6043861,5894904,5769369,5601246,5460796,5328178,5335821,5318231,5250967,5229294,5276093,5163324,5133997,5180832,5259388,5277738,5367400,5427669,5578540,5525953,5526667,5380832,5346381,5205892,5257119,5248115,5305316,5243543
